pattern,sample_id,label,p1_company_1_id,p1_company_1_jurisdiction,p1_company_1_cin_present,p1_company_1_pan_present,p1_company_1_age_years,p1_company_1_revenue_cr,p1_company_1_employee_count,p1_company_1_is_shell,p1_company_2_id,p1_company_2_jurisdiction,p1_company_2_cin_present,p1_company_2_pan_present,p1_company_2_age_years,p1_company_2_revenue_cr,p1_company_2_employee_count,p1_company_2_is_shell,p1_company_3_id,p1_company_3_jurisdiction,p1_company_3_cin_present,p1_company_3_pan_present,p1_company_3_age_years,p1_company_3_revenue_cr,p1_company_3_employee_count,p1_company_3_is_shell,p1_tx1_from,p1_tx1_to,p1_tx1_amount_cr,p1_tx1_date,p1_tx1_type,p1_tx2_from,p1_tx2_to,p1_tx2_amount_cr,p1_tx2_date,p1_tx2_type,p1_tx3_from,p1_tx3_to,p1_tx3_amount_cr,p1_tx3_date,p1_tx3_type,num_dtaa_jurisdictions,num_companies,has_layering_jurisdiction,p2_borrower_id,p2_borrower_jurisdiction,p2_borrower_cin_present,p2_borrower_pan_present,p2_borrower_age_years,p2_borrower_revenue_cr,p2_borrower_employee_count,p2_borrower_is_shell,p2_shell_1_id,p2_shell_1_jurisdiction,p2_shell_1_cin_present,p2_shell_1_pan_present,p2_shell_1_age_years,p2_shell_1_revenue_cr,p2_shell_1_employee_count,p2_shell_1_is_shell,p2_bank_1_id,p2_bank_1_bank,p2_bank_1_jurisdiction,p2_tx1_from_entity_id,p2_tx1_to_entity_id,p2_tx1_from_bank,p2_tx1_to_bank,p2_tx1_amount_cr,p2_tx1_date,p2_tx1_type,p2_tx2_from_entity_id,p2_tx2_to_entity_id,p2_tx2_from_bank,p2_tx2_to_bank,p2_tx2_amount_cr,p2_tx2_date,p2_tx2_type,p2_tx3_from_entity_id,p2_tx3_to_entity_id,p2_tx3_from_bank,p2_tx3_to_bank,p2_tx3_amount_cr,p2_tx3_date,p2_tx3_type,repayment_coincides_with_new_loan,new_loan_within_days_of_due_date,n_loan_cycles,p3_indian_id,p3_indian_jurisdiction,p3_indian_cin_present,p3_indian_pan_present,p3_indian_age_years,p3_indian_revenue_cr,p3_indian_employee_count,p3_indian_is_shell,p3_foreign_id,p3_foreign_jurisdiction,p3_foreign_cin_present,p3_foreign_pan_present,p3_foreign_age_years,p3_foreign_revenue_cr,p3_foreign_employee_count,p3_foreign_is_shell,p3_inv1_from_entity,p3_inv1_to_entity,p3_inv1_declared_value_lakhs,p3_inv1_date,p3_inv2_from_entity,p3_inv2_to_entity,p3_inv2_declared_value_lakhs,p3_inv2_date,p3_inv3_from_entity,p3_inv3_to_entity,p3_inv3_declared_value_lakhs,p3_inv3_date,goods_easily_mispriced,foreign_entity_employee_count,n_invoices,p4_person_id,p4_person_jurisdiction,p4_person_pan_present,p4_person_age_years,p4_person_is_pep,p4_person_declared_income_lakhs,p4_bank_id,p4_bank_bank,p4_bank_jurisdiction,p4_tx1_amount_cr,p4_tx1_type,p4_tx1_date,p4_tx2_amount_cr,p4_tx2_type,p4_tx2_date,p4_tx3_amount_cr,p4_tx3_type,p4_tx3_date,cash_to_wire_ratio,wire_within_7_days_of_cash,all_deposits_below_ctr_threshold,p5_real_owner_id,p5_real_owner_jurisdiction,p5_real_owner_pan_present,p5_real_owner_age_years,p5_real_owner_is_pep,p5_nominee_1_id,p5_nominee_1_jurisdiction,p5_nominee_1_pan_present,p5_nominee_1_age_years,p5_property_1_id,p5_property_1_registered_owner_id,p5_property_1_actual_owner_id,p5_property_1_value_cr,p5_property_1_registration_date,p5_shell_1_id,p5_shell_1_director_id,p5_shell_1_beneficial_owner_id,nominees_same_introducer,shells_have_zero_revenue,affordability_ratio,p6_pep_id,p6_pep_jurisdiction,p6_pep_is_pep,p6_pep_age_years,p6_contractor_id,p6_contractor_jurisdiction,p6_contractor_cin_present,p6_contractor_pan_present,p6_contractor_age_years,p6_contractor_revenue_cr,p6_contractor_employee_count,p6_contractor_is_shell,p6_shell_id,p6_shell_jurisdiction,p6_shell_is_shell,p6_government_id,p6_government_jurisdiction,p6_tx1_from,p6_tx1_to,p6_tx1_amount_cr,p6_tx1_date,p6_tx1_type,p6_tx2_from,p6_tx2_to,p6_tx2_amount_cr,p6_tx2_date,p6_tx2_type,p6_tx3_from,p6_tx3_to,p6_tx3_amount_cr,p6_tx3_date,p6_tx3_type,shell_has_single_client,shell_client_is_govt_contractor,pep_approved_contract
P1,S1-F8099394,1,CO-91F85A57,IN,True,True,13.391598052783449,1470.0,1292,False,CO-53B5A83B,US,,,9.33885046381581,32.19,55,False,CO-65FFDB74,MU,False,False,1.4384899901574395,0,0,True,CO-91F85A57,CO-65FFDB74,182.07,2025-08-23,OVERSEAS_INVESTMENT,CO-65FFDB74,CO-53B5A83B,173.17593844808414,2025-08-23,FDI_EQUITY,,,,,,0,2,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,S1-AE1C5B58,0,CO-5FEE27E8,IN,True,True,21.387880452057598,986.0,1167,False,CO-C85F33F6,FR,,,6.949840894620298,153.35,88,False,CO-19129C66,MU,False,False,2.0431420615910443,0,0,True,CO-5FEE27E8,CO-19129C66,200.33,2025-03-11,OVERSEAS_INVESTMENT,CO-19129C66,CO-C85F33F6,174.478810287587,2025-03-11,FDI_EQUITY,,,,,,0,2,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,S1-4FD87527,1,CO-27489E9D,IN,True,True,17.362205942114755,478.42,241,False,CO-41B8253C,UK,False,False,1.7648560749384066,0,0,True,CO-ADF37CB7,IN,True,True,4.909726549502217,15.14,41,False,CO-27489E9D,CO-41B8253C,183.84,2025-01-13,LOAN_TO_SUBSIDIARY,CO-41B8253C,CO-ADF37CB7,156.45383005305166,2025-03-17,FDI_EQUITY,,,,,,1,3,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,S1-240F3676,0,CO-E6F075BA,IN,True,True,23.142370899913445,780.67,588,False,CO-60D1183C,UK,,,7.828226634786631,30.68,55,False,,,,,,,,,CO-E6F075BA,CO-60D1183C,198.11,2024-04-24,ODI_EQUITY,,,,,,,,,,,1,2,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,S1-12AC68F0,0,CO-04414BC8,AU,,,27.835770550066698,2005.1,8774,False,CO-6E26D0E6,IN,True,True,9.52413510426727,232.38,180,False,,,,,,,,,CO-04414BC8,CO-6E26D0E6,403.3,2025-03-21,FDI_EQUITY,,,,,,,,,,,0,2,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,S1-6755E041,0,CO-5C6A71C9,FR,,,44.80006723035271,2600.16,1157,False,CO-C49D027F,IN,True,True,10.651248676130654,175.43,84,False,,,,,,,,,CO-5C6A71C9,CO-C49D027F,354.94,2025-10-18,FDI_EQUITY,,,,,,,,,,,0,2,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,S1-305F43F7,0,CO-86B1B468,NL,,,24.96448081156082,2881.34,7938,False,CO-9D8E0951,IN,True,True,7.77784778829429,30.31,174,False,,,,,,,,,CO-86B1B468,CO-9D8E0951,56.25,2025-10-14,FDI_EQUITY,,,,,,,,,,,1,2,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,S1-0CC842F8,0,CO-E873228E,SG,,,27.26131355134359,4931.3,2854,False,CO-F593C069,IN,True,True,6.7168307370105,109.08,38,False,,,,,,,,,CO-E873228E,CO-F593C069,152.15,2025-03-24,FDI_EQUITY,,,,,,,,,,,1,2,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,S1-5F8FEE19,0,CO-5AE9884F,NL,,,43.58597052564723,984.79,5139,False,CO-6B32D94A,IN,True,True,10.752870060489224,23.53,46,False,CO-B96FD931,MU,False,False,0.9927371722670459,0,0,True,CO-5AE9884F,CO-B96FD931,80.35,2025-12-04,OVERSEAS_INVESTMENT,CO-B96FD931,CO-6B32D94A,70.38137040311761,2025-12-04,FDI_EQUITY,,,,,,1,2,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,S1-355D227B,0,CO-40FBA0AC,IN,True,True,13.324026051996494,243.19,340,False,CO-B1444AA0,UK,False,False,2.744736694408552,0,0,True,CO-2E30FFB3,IN,True,True,4.557798744254113,96.23,42,False,CO-40FBA0AC,CO-B1444AA0,87.63,2025-03-16,EXPORT_ADVANCE,CO-B1444AA0,CO-2E30FFB3,81.36486444277561,2025-06-23,FDI_EQUITY,,,,,,1.1864543562707384,2.7281426503873707,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,S1-A4C208E1,1,CO-D98B6E6F,IN,True,True,5.428029122856566,116.64,139,False,CO-402FE057,SG,False,False,1.2097712534139111,0,0,True,CO-9F3BA1AD,IN,True,True,2.3069686253764687,24.0,34,False,CO-D98B6E6F,CO-402FE057,26.71,2025-06-05,LOAN_TO_SUBSIDIARY,CO-402FE057,CO-9F3BA1AD,24.7558212174791,2025-10-02,FDI_EQUITY,,,,,,1,3,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,S1-7AAA4276,0,CO-85C6EF09,IN,True,True,28.29251545005531,320.75,312,False,CO-A76198D7,AU,,,4.836426619722409,58.93,21,False,,,,,,,,,CO-85C6EF09,CO-A76198D7,168.94,2025-01-23,ODI_EQUITY,,,,,,,,,,,0,2,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,S1-328AF3A6,1,CO-AB457B2A,IN,True,True,5.33364023161569,327.05,350,False,CO-892309B5,NL,False,False,0.6269135748936601,0,0,True,CO-EC4365F5,IN,True,True,1.2099644273578511,47.2,70,False,CO-AB457B2A,CO-892309B5,46.73,2025-04-10,OVERSEAS_INVESTMENT,CO-892309B5,CO-EC4365F5,39.751976768778675,2025-09-24,FDI_EQUITY,,,,,,1,3,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,S1-180A6A43,0,CO-3A2442DC,DE,,,12.966564272233336,1064.93,5435,False,CO-62570961,IN,True,True,10.329607532549222,77.79,83,False,,,,,,,,,CO-3A2442DC,CO-62570961,256.42,2026-01-08,FDI_EQUITY,,,,,,,,,,,0,2,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,S1-DB0B8CE6,0,CO-21042D2A,IN,True,True,7.508611489568895,162.29,84,False,CO-E9A99CDD,MU,False,False,2.467550015226651,0,0,True,,,,,,,,,CO-21042D2A,CO-E9A99CDD,37.74,2025-03-08,EXPORT_ADVANCE,,,,,,,,,,,1,4,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,S1-27209443,1,CO-BE0ECA10,IN,True,True,10.557820164853155,149.68,60,False,CO-69A8753C,UK,False,False,0.9787791909643729,0,0,True,CO-B8840C79,IN,True,True,4.869186024755215,13.31,73,False,CO-BE0ECA10,CO-69A8753C,196.84,2025-01-02,LOAN_TO_SUBSIDIARY,CO-69A8753C,CO-023E9751,180.4485241195229,2025-01-26,INTER_COMPANY_TRANSFER,CO-023E9751,CO-B8840C79,172.33170418955473,2025-03-04,FDI_EQUITY,1,2,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,S1-14FF62F4,0,CO-9EB250CD,AU,,,48.72087191218222,2028.89,863,False,CO-5904BBD0,IN,True,True,5.257107257082753,111.24,106,False,CO-D3074815,MU,False,False,2.7729903397734232,0,0,True,CO-9EB250CD,CO-D3074815,83.4,2025-12-03,OVERSEAS_INVESTMENT,CO-D3074815,CO-5904BBD0,72.62503800885808,2025-12-03,FDI_EQUITY,,,,,,0.22486519766546675,3.2042897072362653,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,S1-5BEBE6DB,1,CO-0BF3E5C6,IN,True,True,26.200239452525416,1757.26,1007,False,CO-B5413852,UK,,,9.81396566380401,156.58,67,False,,,,,,,,,CO-0BF3E5C6,CO-B5413852,289.85,2024-05-09,ODI_EQUITY,,,,,,,,,,,1,3,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
